Date,Equity,Cash
2022-06-29,1693410.446149408,715304.7594180696
2022-06-30,1677130.1421046846,715304.7594180696
2022-07-01,1697266.3226867311,715304.7594180696
2022-07-05,1701122.1992240543,715304.7594180696
2022-07-06,1708191.2517314546,715304.7594180696
2022-07-07,1736896.065000116,715304.7594180696
2022-07-08,1735396.5665374391,715304.7594180696
2022-07-11,1712475.5680747624,715304.7594180696
2022-07-12,1694481.5048061006,715304.7594180696
2022-07-13,1683985.0155673614,715304.7594180696
2022-07-14,1678629.6405673614,715304.7594180696
2022-07-15,1715474.565000116,715304.7594180696
2022-07-18,1698980.0001941316,715304.7594180696
2022-07-19,1752105.3921046846,715304.7594180696
2022-07-20,1765600.8782687779,715304.7594180696
2022-07-21,1786593.9384627931,715304.7594180696
2022-07-22,1766886.1976867311,715304.7594180696
2022-07-25,1768814.1359553926,715304.7594180696
2022-07-26,1743536.7594180696,715304.7594180696
2022-07-27,1797304.6884627931,715304.7594180696
2022-07-28,1824081.5634627931,715304.7594180696
2022-07-29,1856856.5140300386,715304.7594180696
2022-08-01,1849573.200761377,715304.7594180696
2022-08-02,1834792.3134627931,715304.7594180696
2022-08-03,1869280.9415374391,715304.7594180696
2022-08-04,1867567.2640300386,715304.7594180696
2022-08-05,1862640.328836023,715304.7594180696
2022-08-08,1860926.5696120851,715304.7594180696
2022-08-09,1851286.8782687779,715304.7594180696
2022-08-10,1898842.6344180696,715304.7594180696
2022-08-11,1899056.8134627931,715304.7594180696
2022-08-12,1938258.1976867311,715304.7594180696
2022-08-15,1948754.7686420076,715304.7594180696
2022-08-16,1953253.2640300386,715304.7594180696
2022-08-17,1935901.8196120851,715304.7594180696
2022-08-18,1942114.0742240543,715304.7594180696
2022-08-19,1909124.9446120851,715304.7594180696
2022-08-22,1859427.071149408,715304.7594180696
2022-08-23,1853214.8165374391,715304.7594180696
2022-08-24,1860498.1298061006,715304.7594180696
2022-08-25,1892630.3798061006,715304.7594180696
2022-08-26,1812728.1946120851,715304.7594180696
2022-08-29,1797733.1282687779,715304.7594180696
2022-08-30,1773741.071149408,715304.7594180696
2022-08-31,1757674.946149408,715304.7594180696
2022-09-01,1763672.940000116,715304.7594180696
2022-09-02,1741608.821149408,715304.7594180696
2022-09-06,1733897.0680747624,715304.7594180696
2022-09-07,1770527.8134627931,715304.7594180696
2022-09-08,1783809.2022987,715304.7594180696
2022-09-09,1817012.5109553926,715304.7594180696
2022-09-12,1840361.9492240543,715304.7594180696
2022-09-13,1742894.1405673614,715304.7594180696
2022-09-14,1749749.0140300386,715304.7594180696
2022-09-15,1726399.575761377,715304.7594180696
2022-09-16,1711190.330373346,715304.7594180696
2022-09-19,1725971.1359553926,715304.7594180696
2022-09-20,1702835.8767314546,715304.7594180696
2022-09-21,1668133.0696120851,715304.7594180696
2022-09-22,1651424.325761377,715304.7594180696
2022-09-23,1619934.6946120851,715304.7594180696
2022-09-26,1602583.2501941316,715304.7594180696
2022-09-27,1597442.1359553926,715304.7594180696
2022-09-28,1631930.7640300386,715304.7594180696
2022-09-29,1594014.6992240543,715304.7594180696
2022-09-30,1566166.7655673614,715304.7594180696
2022-10-03,1638112.3813823336,88854.60356556124
2022-10-04,1732556.703125345,88854.60356556124
2022-10-05,1725890.0318225496,88854.60356556124
2022-10-06,1690704.8535655611,88854.60356556124
2022-10-07,1601445.6892169588,88854.60356556124
2022-10-10,1577742.0318225496,88854.60356556124
2022-10-11,1558112.3257487887,88854.60356556124
2022-10-12,1548853.0757487887,88854.60356556124
2022-10-13,1625519.7957309359,88854.60356556124
2022-10-14,1555519.747051584,88854.60356556124
2022-10-17,1629964.196171152,88854.60356556124
2022-10-18,1665519.6822627657,88854.60356556124
2022-10-19,1644408.6035655611,88854.60356556124
2022-10-20,1617001.1614001864,88854.60356556124
2022-10-21,1691075.1614001864,88854.60356556124
2022-10-24,1729964.1244281405,88854.60356556124
2022-10-25,1781815.839657175,88854.60356556124
2022-10-26,1756630.66835438,88854.60356556124
2022-10-27,1737371.4114001864,88854.60356556124
2022-10-28,1815889.953125345,88854.60356556124
2022-10-31,1791445.5387767428,88854.60356556124
2022-11-01,1775889.925308573,88854.60356556124
2022-11-02,1690334.5457309359,88854.60356556124
2022-11-03,1656630.8813823336,88854.60356556124
2022-11-04,1701815.925308573,88854.60356556124
2022-11-07,1732927.0109599703,88854.60356556124
2022-11-08,1750334.446171152,88854.60356556124
2022-11-09,1681075.2957309359,88854.60356556124
2022-11-10,1855519.5318225496,88854.60356556124
2022-11-11,1890704.7100795382,88854.60356556124
2022-11-14,1859963.9322627657,88854.60356556124
2022-11-15,1890334.2609599703,88854.60356556124
2022-11-16,1862186.203125345,88854.60356556124
2022-11-17,1849963.925308573,88854.60356556124
2022-11-18,1865149.089657175,88854.60356556124
2022-11-21,1851075.1313823336,88854.60356556124
2022-11-22,1898111.997051584,88854.60356556124
2022-11-23,1921075.0387767428,88854.60356556124
2022-11-25,1919593.5248683565,88854.60356556124
2022-11-28,1861074.997051584,88854.60356556124
2022-11-29,1855149.0827029818,88854.60356556124
2022-11-30,1963667.5040057772,88854.60356556124
2022-12-01,1962926.747051584,88854.60356556124
2022-12-02,1957371.2818225496,88854.60356556124
2022-12-05,1889963.953125345,88854.60356556124
2022-12-06,1838112.096611368,88854.60356556124
2022-12-07,1831075.1174739473,88854.60356556124
2022-12-08,1857371.3535655611,88854.60356556124
